registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80772110013;I;YIN´S BRASIL COMERCIO INTERNACIONAL LTDA;TIANCHANG HUASHENG WEAVING CO. LTD;CHINA, REPÚBLICA POPULAR
80772110014;I;YIN´S BRASIL COMERCIO INTERNACIONAL LTDA;TIANCHANG HUASHENG WEAVING CO. LTD;CHINA, REPÚBLICA POPULAR
81009350001;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350002;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350003;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350006;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350009;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350010;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350011;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350012;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350013;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350014;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350015;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350017;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350018;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350022;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350025;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350026;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350027;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350029;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350030;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350031;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350033;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009350034;I;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009359002;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009359003;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009359004;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009359005;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009359007;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009359008;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009359010;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
81009359011;II;YLLER BIOMATERIAIS S.A.;YLLER BIOMATERIAIS S.A.;BRASIL
80355220002;I;YOGA CONFECÇÕES LTDA.;YOGA CONFECÇÕES LTDA.;BRASIL
80355220003;I;YOGA CONFECÇÕES LTDA.;YOGA CONFECÇÕES LTDA.;BRASIL
