registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
10216350056;II;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350066;I;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350070;I;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350077;II;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350080;II;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350082;III;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350085;I;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350089;II;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350091;I;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350092;I;ZAMMI INSTRUMENTAL LTDA;HANGZHOU PRIMECARE MEDICAL CO, LTD;CHINA, REPÚBLICA POPULAR
10216350093;II;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350094;I;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350095;I;ZAMMI INSTRUMENTAL LTDA;HANGZHOU PRIMECARE MEDICAL CO, LTD;CHINA, REPÚBLICA POPULAR
10216350096;I;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350105;II;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350106;I;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
10216350109;I;ZAMMI INSTRUMENTAL LTDA;ZAMMI INSTRUMENTAL LTDA;BRASIL
