codigo_tuss;termo;modelo;fabricante;inicio_vigencia;fim_vigencia;fim_implantacao;registro_anvisa;classe_risco
78197252;Balao;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195845;Balão Intra-órtico;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195837;Balao Intragastrico;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195853;Balao Para Oclusao Vascular;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195861;Balao Retrator de Orgao;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195870;Baloes Dilatadores;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195888;Banda Gastrica;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197260;Bandagem;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197279;Bandas Ortodônticas;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197287;Barreira Anti-Adesao;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197295;Barreira Gengival Fotopolimerizavel;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197309;BICO PARA MAMADEIRA;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381629;Biomateriais para Enxertos e Preenchimentos;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197317;Bisturi Descartavel;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197325;BOCAL PARA ESPIRÔMETRO;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197333;Bolsa Coletora de Perna;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197341;Bolsa de Alimentacao;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197350;Bolsa para Coleta de Orgaos;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197368;BOLSA PARA COLETA E CRIOPRESERVAÇÃO DE HEMODERIVADOS;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197376;Bolsa para Colostomia;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197384;BOLSA PARA MISTURA DE SOLUÇÃO ESTÉRIL;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197392;Bolsa para Mistura de Solucao Parenteral;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197406;Bolsa Para Reinfusao;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197414;BOLSA PARA UROSTOMIA;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197422;Bolsas Coletoras;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197430;Bolsas de Sangue;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197449;Bolsas Plasticas;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197457;Bolsas(de Agua,Silicone,Gel,Gelo e Outras);NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
71446915;BOMBA CENTRÍFUGA PARA SISTEMA DE DERIVAÇÃO (BY-PASS) CARDIOPULMONAR;NÃO SE APLICA;NÃO SE APLICA;2016-10-01;;2016-12-31;NÃO SE APLICA;NÃO SE APLICA
78197465;Bomba de Infusao Descartavel;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
71446923;BOMBA DE INFUSÃO IMPLANTÁVEL;NÃO SE APLICA;NÃO SE APLICA;2016-10-01;;2016-12-31;NÃO SE APLICA;NÃO SE APLICA
78195896;BOMBA DE INFUSÃO IMPLANTAVEL;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195900;BOMBA INTRACARDÍACA;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197473;Braquete Ortodôntico;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197481;Brocas Cirurgicas;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197490;Brocas Cirurgicas Odontologicas;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197503;Brocas de Perfuracao Ossea;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78984335;Brocas Odontologicas;NÃO SE APLICA;NÃO SE APLICA;2019-08-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
