codigo_tuss;termo;modelo;fabricante;inicio_vigencia;fim_vigencia;fim_implantacao;registro_anvisa;classe_risco
77381319;Cabeça cerâmica para artroplastia de quadril;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381211;Cabeça metálica para artroplastia de quadril;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195918;Cabeça para artroplastia de superfície de ombro;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195926;Cabeça para artroplastia de superfície de quadril;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78195934;Cabeça para artroplastia integral de ombro;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197511;Cabo de Irrigacao/Aspiracao Oftalmologico;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78984343;Cabo Eletrocirurgico Monopolar;NÃO SE APLICA;NÃO SE APLICA;2019-08-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381823;Cabo-Eletrodos Implantaveis;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197538;Cabo-Extensao Para Cateter;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72022981;CABO/ELETRODO ELETROCIRÚRGICO;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
77381963;CABO/ELETRODO ELETROCIRÚRGICO (Potência maior que 50W);NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381971;CABO/ELETRODO ELETROCIRÚRGICO (Potência menor ou igual a 50W);NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78197520;CABO/ELETRODO PARA COURO CABELUDO;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72022990;CABO/ELETRODO PARA DESFIBRILAÇÃO ENDOCARDÍACA;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
