codigo_tuss;termo;modelo;fabricante;inicio_vigencia;fim_vigencia;fim_implantacao;registro_anvisa;classe_risco
78198658;Elasticos Ortodonticos;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78198666;Eletrodo analgésico para estimulação elétrica da medula espinhal;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78198674;Eletrodo Cardiaco;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78198682;Eletrodo Cirurgico;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78198690;ELETRODO CUTÂNEO ANALÍTICO;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78198704;ELETRODO DE AGULHA SUBDÉRMICO;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
102354626;ELETRODO DE ATERRAMENTO PARA ELETROMIOGRAFIA;NÃO SE APLICA;NÃO SE APLICA;2023-10-01;;2023-12-31;NÃO SE APLICA;NÃO SE APLICA
78198712;Eletrodo de Coagulacao;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
102354553;Eletrodo de estimulação cerebral profunda;NÃO SE APLICA;NÃO SE APLICA;2023-10-01;;2023-12-31;NÃO SE APLICA;NÃO SE APLICA
78198720;Eletrodo de estimulação elétrica transcutânea;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78198739;Eletrodo de estimulação implantável;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
102354561;eletrodo de referência para sistema de mapeamento cardíaco;NÃO SE APLICA;NÃO SE APLICA;2023-10-01;;2023-12-31;NÃO SE APLICA;NÃO SE APLICA
78198747;Eletrodo de tubo endotraqueal eletromiográfico;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78198755;Eletrodo Descartavel;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72392045;ELETRODO IMPLANTÁVEL DE PROFUNDIDADE;NÃO SE APLICA;NÃO SE APLICA;2018-01-01;;2018-03-31;NÃO SE APLICA;NÃO SE APLICA
102354634;Eletrodo para eletroretinografia;NÃO SE APLICA;NÃO SE APLICA;2023-10-01;;2023-12-31;NÃO SE APLICA;NÃO SE APLICA
78198763;Eletrodos;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
71447008;ENDOPRÓTESE (VASCULAR);NÃO SE APLICA;NÃO SE APLICA;2016-10-01;;2016-12-31;NÃO SE APLICA;NÃO SE APLICA
77381548;Endoprótese não convencional para membros inferiores;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381840;Endoprótese não convencional para membros superiores;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381220;Endoprotese Vascular;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381521;Enxerto de Hidroxiapatita - Mineral Inorganico;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381289;Enxerto Dermico Acelular;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77380932;Enxerto Osseo;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72023163;ENXERTO PARA OSSOS E DISPOSITIVOS ASSOCIADOS;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
77380975;Enxertos;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78198771;Equipo Arterial;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
