codigo_tuss;termo;modelo;fabricante;inicio_vigencia;fim_vigencia;fim_implantacao;registro_anvisa;classe_risco
78196183;Haste Intramedular;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381408;Haste intramedular flexível;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381190;Haste intramedular semi-rígida com bloqueio;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78196191;Haste intramedular semi-rígida sem bloqueio;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381017;Haste modular para artroplastia de quadril;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78196205;Haste modular sem cabeça para artroplastia de ombro;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78196213;Haste não modular para artroplastia de ombro;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381343;Haste não modular para artroplastia de quadril;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72023201;HASTES ÓSSEAS;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
78199557;Hemoconcentrador;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381076;Hemostaticos Absorviveis;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381084;Hemostaticos Cirurgicos;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199565;Higienizador do canal auditivo e/ou narinas;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
