codigo_tuss;termo;modelo;fabricante;inicio_vigencia;fim_vigencia;fim_implantacao;registro_anvisa;classe_risco
78199700;Kit Cirurgico;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199719;KIT DE ANESTESIA COM LOCALIZADOR DE NERVO, DE ADMINISTRAÇÃO CONTÍNUA;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199727;KIT DE ANESTESIA COM LOCALIZADOR DE NERVO, DE ADMINISTRAÇÃO ÚNICA;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199735;Kit de Aspiracao e Coleta de Sangue;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199743;Kit de Coleta e Aspiracao de Medula Ossea;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
102354707;Kit de descompressão lombar;NÃO SE APLICA;NÃO SE APLICA;2023-10-01;;2023-12-31;NÃO SE APLICA;NÃO SE APLICA
78199751;Kit de Introducao de Cateter;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199760;Kit de Lactacao;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199778;Kit de Ligadura Para Varizes;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199786;Kit de Monitoracao;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199794;Kit de Procedimentos para Partos;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199808;Kit de Suspensao Vesical;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199816;Kit de Sutura;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199824;Kit de Traqueostomia;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199832;KIT DO SISTEMA A LASER PARA CIRURGIA;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78199840;Kit Guia de Agulha;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
