codigo_tuss;termo;modelo;fabricante;inicio_vigencia;fim_vigencia;fim_implantacao;registro_anvisa;classe_risco
77381092;MALHA CIRÚRGICA IMPLANTÁVEL;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78200270;Malha Tubular;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72392053;MALHAS CIRÚRGICAS MULTIPROPÓSITO;NÃO SE APLICA;NÃO SE APLICA;2018-01-01;;2018-03-31;NÃO SE APLICA;NÃO SE APLICA
78200288;Malhas Pos-Cirurgica;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78200296;Manipulador uterino;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78200300;Manta Termica;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72023210;MARCA-PASSO CARDÍACO IMPLANTÁVEL DE CÂMARA DUPLA, COM RESPOSTA EM FREQUÊNCIA;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
78196370;MARCA-PASSO CARDÍACO IMPLANTÁVEL DE CÂMARA DUPLA, POR DEMANDA;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72023228;MARCA-PASSO CARDÍACO IMPLANTÁVEL DE CÂMARA ÚNICA, COM RESPOSTA DE FREQUÊNCIA;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
72023236;MARCA-PASSO IMPLANTÁVEL PARA TERAPIA DE RESSINCRONIZAÇÃO CARDÍACA;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
