codigo_tuss;termo;modelo;fabricante;inicio_vigencia;fim_vigencia;fim_implantacao;registro_anvisa;classe_risco
78201306;Recuperador Endovascular de Corpos Estranhos;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201314;Removedor Mecanico de Placa Dentaria;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201322;Reservatorios;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201330;RESINA A BASE DE POLIACETAL PARA PRÓTESE ODONTOLÓGICA;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201349;Resina Autopolimerizavel p/Reembasamento Proteses;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201365;Resina Composta Autopolimerizável;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201357;Resina Composta Fotopolimerizável;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201373;Resinas Acrilicas Odontologicas;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201381;RESTRITORES, PRESSURIZADORES E SELADORES DE CIMENTO ORTOPÉDICO;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201390;Retosigmoidoscopio;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201403;Retratores Gengivais e Hemostaticos;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72023279;REVÓLVER DISPENSADOR DE CIMENTO ORTOPÉDICO;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
78201411;Rompedor de Membrana Amniotica Descartavel;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201420;Roupa de Cama Hospitalar;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
