codigo_tuss;termo;modelo;fabricante;inicio_vigencia;fim_vigencia;fim_implantacao;registro_anvisa;classe_risco
78201438;Sacos Plast./Caixas P/Descarte de Mat.Hospitalar;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201446;Selante Odontologico;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201454;Selante Para Canal Radicular;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201462;Selantes Para Fossulas/Fissuras;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201470;Sementes Para Irradiacao;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201489;Sensor de Fluxo Respiratório;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201497;SENSOR PARA SISTEMA IMPLANTÁVEL DE MONITORAMENTO DA GLICOSE;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201500;Sensor Toráxico de Movimento Respiratório;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201519;Sensores;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201527;Sensores de Temperatura;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201535;Sensores Para Oximetria;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201543;Seringa Carpule Odontologica;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201551;Seringa para Odontologia;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201560;Seringa Tríplice Odontológica;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201578;Seringas;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201586;Seringas Descartaveis;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201594;Silicone Autopolimerizável para Reembasamento;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201608;SISTEMA A VÁCUO PARA TRATAMENTO DE FERIDAS;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77380967;Sistema anterior de coluna para fixação intersomática;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201616;Sistema de Aferese;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78196639;Sistema de artroplastia total não restrita de cotovelo;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201624;Sistema de Aspiracao Traqueal;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201632;Sistema de Cimentacao Ossea;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201640;Sistema de Compressao de Membros;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72023287;SISTEMA DE DERIVAÇÃO (BY-PASS) CARDIOPULMONAR E DISPOSITIVOS ASSOCIADOS;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
78201659;SISTEMA DE DESPRENDIMENTO DE BOBINAS PARA TERAPIA DE ANEURISMAS;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201667;Sistema de Drenagem;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
71447105;SISTEMA DE ESTIMULAÇÃO ELÉTRICA CEREBRAL PROFUNDA;NÃO SE APLICA;NÃO SE APLICA;2016-10-01;;2016-12-31;NÃO SE APLICA;NÃO SE APLICA
78196647;Sistema de Fechamento do Esterno;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78196655;Sistema de Fixação de Ligamento;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78201675;Sistema de Fixacao Externa;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
78196663;Sistema de fixação não rígida, absorvível para osteossíntese;NÃO SE APLICA;NÃO SE APLICA;2019-06-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77380886;Sistema de fixação não rígida, não absorvível para osteossíntese;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381785;Sistema de fixação rígida de placas anguladas tubulares para osteossíntese;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77380797;Sistema de fixação rígida de placas especiais para osteossíntese;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77380983;Sistema de fixação rígida de placas retas para osteossíntese;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381246;Sistema de haste semi-rígida com bloqueio misto;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
77381254;Sistema de haste semi-rígida com bloqueio transverso por parafusos;NÃO SE APLICA;NÃO SE APLICA;2019-03-01;;2020-02-29;NÃO SE APLICA;NÃO SE APLICA
72023295;SISTEMA DE IMPLANTE AUDITIVO;NÃO SE APLICA;NÃO SE APLICA;2017-04-10;;2017-07-09;NÃO SE APLICA;NÃO SE APLICA
