codigo_tuss;registro_anvisa
90000021;1055302380011
90000030;1055302380046
90000048;1055302380070
90000145;1055302190069
90000153;1055302190042
90000226;1055301160034
90000315;1055303300021
90000323;1055303150036
90000331;1055303150044
90000340;1055303150052
90000358;1055303150011
90000366;1055302030258
90000382;1055302030290
90000404;1055302030363
90000412;1055302030339
90000420;1055302030207
90000447;1055302030304
90000463;1055302030071
90000471;1055302670060
90000498;1055302670087
90000544;1055302590075
90000552;1055302940025
90000633;1055302590024
90000641;1055302590059
90000650;1055302590032
90000668;1055302590040
90000706;1055303080135
90000714;1055303080143
90000722;1055303080062
90000730;1055302590105
90000790;1055302000359
90000803;1055302000367
90000811;1055302000138
90000820;1055302000154
90000838;1055302000261
90000846;1055301830021
90000919;1055302680023
90000927;1055302680031
90000935;1055300450578
90001052;1055303090114
90001079;1055303090033
90001087;1055303090327
90001230;1055303290024
90001320;1055303050104
90001338;1055303050112
90001354;1055303330026
90001362;1055303230013
90001990;1553700170012
90002032;1553700030024
90002040;1553700030032
90002067;1553700020010
90002083;1553700020037
90002091;1553700050033
90002105;1553700050017
90002113;1553700050025
90002130;1553700150038
90002148;1553700150011
90002156;1553700110028
90002164;1553700110011
90002172;1553700130010
90002180;1553700130029
90002229;1553700090019
90002270;1553700140024
90002300;1553700210022
90002318;1553700210030
90002326;1553700210014
90002342;1553700070026
90002377;1553700070050
90002407;1553700070085
90002423;1553700100030
90002440;1553700100014
90002458;1553700080013
90002466;1553700080021
90002474;1553700220028
90002482;1553700220036
90002490;1553700220011
90002504;1553700040021
90002512;1553700040038
90002520;1553700040011
90002571;1553700120031
90002598;1553700120015
90002610;1553700120074
90002636;1553700120058
90002652;1553700060020
90002679;1553700060047
90002695;1553700060063
90002709;1553700180018
90002717;1057303920032
90002725;1057303910037
90002733;1057303780028
90002741;1057303780044
90002750;1057303140010
90002768;1057302640028
90002776;1057302640052
90002784;1057302640036
90002792;1057302640044
90002806;1057303950039
90002814;1057303950055
90002822;1057303950071
90002830;1057303960018
90002849;1057303850018
90002857;1057303840012
90002865;1057303240023
90002873;1057302050034
90002881;1057302050085
90002890;1057302050093
90002903;1057302860011
90002911;1057302860028
90002920;1057301280030
90002938;1057301280079
90002946;1057301280064
90002954;1057301280087
90003055;1057301400171
90003063;1057301400252
90003071;1057301400058
90003080;1057301400181
90003098;1057301400333
90003101;1057301400325
90003144;1057303710021
90003160;1057303710054
90003179;1057301270065
90003187;1057301270091
90003195;1057301270073
90003209;1057301270111
90003217;1057300660115
90003225;1057300660123
90003233;1057300660141
90003241;1057300660131
90003284;1057300670019
90003322;1057300050061
90003349;1057303930011
90003357;1057303930038
90003373;1057303760108
90003390;1057303760043
90003403;1057303890036
90003411;1057300080076
90003438;1057303670011
90003446;1057303670036
90003470;1057303730012
90003489;1057303730047
90003497;1057303170017
90003500;1057302990010
90003519;1057303030045
90003527;1057303030010
90003535;1057303030029
90003543;1057303020015
90003551;1057303020031
90003560;1057303030037
90003578;1057302980023
90003586;1057302310052
90003594;1057302310011
90003608;1057302310176
90003616;1057302310060
90003632;1057300090081
90003640;1057300090098
90003691;1057303650027
90003705;1057302480039
90003713;1057302480012
90003721;1057302480020
90003730;1057303830041
90003748;1057303830017
90003756;1057303830051
90003764;1057303830025
90003799;1057300210026
90003802;1057300210018
90003845;1057302970028
90003853;1057302970011
90003861;1057300260244
90003870;1057300260181
90003888;1057300260211
90003900;1057303790023
90003918;1057303790041
90003926;1057303790058
90003934;1057303790066
90003942;1057303630018
90003950;1057303630026
90003969;1057301440033
90003977;1057301440041
90003985;1057302170031
90004051;1057302490018
90004060;1057303270089
90004078;1057303270161
90004086;1057303270151
90004094;1057303270178
90004108;1057303270021
90004116;1057303270054
90004167;1057301420083
90004175;1057303420013
90004183;1057303420080
90004191;1057303420048
90004205;1057303420056
90004221;1057303090028
90004230;1057302410014
90004248;1057302160077
90004256;1057302160093
90004264;1057302160085
90004272;1057300720059
90004302;1057303120011
90004310;1057300320121
90004345;1057303330057
90004353;1057303330091
90004418;1057300620016
90004426;1057300620063
90004434;1057303660278
90004442;1057303660332
90004450;1057303660391
90004469;1057303660456
90004477;1057303660510
90004485;1057303660571
90004493;1057303660030
90004507;1057303660618
90004515;1057303660091
90004523;1057303660154
90004531;1057303660219
90004574;1057303280025
90004582;1057303280017
90004590;1057303770014
90004604;1057303770049
90004612;1057303770057
90004620;1057303770081
90004639;1057301140013
90004647;1057302930123
90004655;1057302930093
90004663;1057302930131
90004671;1057302930018
90004680;1057302930042
90004698;1057302930050
90004701;1057303340011
90004710;1057303340036
90004736;1057300750025
90004744;1057301200047
90004752;1057301200067
90004760;1057303010036
90004779;1057303010133
90004787;1057303010052
90004809;1057303010079
90004876;1057300120051
90004884;1057300120027
90004892;1057300120043
90004922;1057302100074
90004930;1057302100066
90004949;1057302100041
90004957;1057302100058
